,Rank,country,country_code,1980,2000,2010,2021,2022,2030,2050,area,landAreaKm,growthRate,worldPercentage,density
198,199,Saint Vincent and the Grenadines,VCT,107480.0,113813,109308,104332,103948,104322,101691,389.0,390.0,-0.0037,0.0,266.5333
199,200,United States Virgin Islands,VIR,96640.0,108185,106142,100091,99465,93419,77519,347.0,347.0,-0.0063,0.0,286.6427
200,201,Antigua and Barbuda,ATG,64888.99999999999,75055,85695,93219,93763,97510,99030,442.0,440.0,0.0058000000000000005,0.0,213.0977
201,202,Isle of Man,IMN,64022.00000000001,75562,83828,84263,84519,85798,86680,572.0,570.0,0.003,0.0,148.2789
202,203,Andorra,AND,35611.0,66097,71519,79034,79824,81528,80504,468.0,470.0,0.01,0.0,169.8383
203,204,Dominica,DMA,72978.0,68346,68755,72412,72737,74988,74167,751.0,750.0,0.0045000000000000005,0.0,96.9827
204,205,Cayman Islands,CYM,17100.0,39658,54074,68136,68706,72865,77633,264.0,240.0,0.008400000000000001,0.0,286.275
205,206,Bermuda,BMU,53565.0,61371,63447,64185,64184,62806,56041,54.0,54.0,0.0,0.0,1188.5926
206,207,Guernsey,GGY,52860.0,59114,60782,63065,63301,65141,66496,78.0,63.0,0.0037,0.0,1004.7778
207,208,Greenland,GRL,50106.0,56184,56351,56243,56466,57152,53997,2166086.0,410450.0,0.004,0.0,0.1376
208,209,Faroe Islands,FRO,43054.0,45660,48410,52889,53090,54583,59444,1393.0,1366.0,0.0038,0.0,38.8653
209,210,Northern Mariana Islands,MNP,17613.0,80338,54087,49481,49551,51178,50050,464.0,460.0,0.0014,0.0,107.7196
210,211,Saint Kitts and Nevis,KNA,43097.0,45461,47403,47606,47657,48247,46882,261.0,260.0,0.0011,0.0,183.2962
211,212,Turks and Caicos Islands,TCA,7598.0,18744,29726,45114,45703,48538,52865,948.0,948.0,0.0131,0.0,48.2099
212,213,American Samoa,ASM,32886.0,58230,54849,45035,44273,41142,33557,199.0,200.0,-0.016900000000000002,0.0,221.365
213,214,Sint Maarten,SXM,12243.0,30489,33034,44042,44175,44946,38947,34.0,34.0,0.003,0.0,1299.2647
214,215,Marshall Islands,MHL,31988.0,54224,53416,42050,41569,44733,51211,181.0,180.0,-0.0114,0.0,230.9389
215,216,Liechtenstein,LIE,25003.0,33026,35926,39039,39327,41030,42287,160.0,160.0,0.0074,0.0,245.7938
216,217,Monaco,MCO,27076.0,32465,33178,36686,36469,35862,37664,2.02,2.0,-0.0059,0.0,18234.5
217,218,San Marino,SMR,21346.0,26823,31608,33745,33660,33458,32043,61.0,60.0,-0.0025,0.0,561.0
218,219,Gibraltar,GIB,28734.0,27741,31262,32668,32649,32771,31356,6.8,6.8,-0.0006000000000000001,0.0,4801.3235
219,220,Saint Martin,MAF,7776.0,29610,36458,31948,31791,33508,35453,53.0,50.0,-0.0049,0.0,635.82
220,221,British Virgin Islands,VGB,11109.0,20104,27556,31122,31305,32995,34768,151.0,150.0,0.0059,0.0,208.7
221,222,Palau,PLW,12252.0,19726,18540,18024,18055,17919,16689,459.0,460.0,0.0017000000000000001,0.0,39.25
222,223,Cook Islands,COK,17651.0,15897,17212,17003,17011,17253,17674,240.0,240.0,0.0005,0.0,70.8792
223,224,Anguilla,AIA,6560.0,11047,13172,15753,15857,16055,15294,91.0,91.0,0.0066,0.0,174.2527
224,225,Nauru,NRU,7635.0,10377,10241,12511,12668,13358,14695,21.0,20.0,0.0125,0.0,633.4
225,226,Wallis and Futuna,WLF,11315.0,14723,13142,11627,11572,11229,11349,274.0,274.0,-0.0047,0.0,42.2336
226,227,Tuvalu,TUV,7731.0,9638,10550,11204,11312,11917,13211,26.0,30.0,0.009600000000000001,0.0,377.0667
227,228,Saint Barthelemy,BLM,2983.0,7082,8988,10861,10967,11113,10210,21.0,25.0,0.0098,0.0,438.68
228,229,Saint Pierre and Miquelon,SPM,6106.0,6274,6052,5883,5862,5651,5165,242.0,242.0,-0.0036000000000000003,0.0,24.2231
229,230,Montserrat,MSR,11452.0,5138,4938,4417,4390,4301,3781,102.0,102.0,-0.0061,0.0,43.0392
230,231,Falkland Islands,FLK,2240.0,3080,3187,3764,3780,3869,3779,12173.0,12173.0,0.0043,0.0,0.3105
231,232,Niue,NIU,3637.0,2074,1812,1937,1934,1948,2096,261.0,261.0,-0.0015,0.0,7.41
232,233,Tokelau,TKL,1647.0,1666,1367,1849,1871,2045,2430,12.0,10.0,0.0119,0.0,187.1
233,234,Vatican City,VAT,733.0,651,596,511,510,561,731,0.44,0.44,-0.002,0.0,1159.0909
